Age,CommuteDistance,EnglishEducation,EnglishOccupation,Gender,GeographyKey,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,TotalChildren,YearlyIncome,,,,,,,,,,,,,,,
64,5-10 Miles,Partial College,Clerical,F,8,0,S,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
35,1-2 Miles,Partial College,Skilled Manual,F,359,0,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
63,5-10 Miles,Partial College,Skilled Manual,F,34,1,M,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
63,5-10 Miles,Partial College,Skilled Manual,M,22,1,M,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
62,5-10 Miles,Partial College,Skilled Manual,F,10,1,M,2,0,Pacific,3,40000,,,,,,,,,,,,,,,
61,1-2 Miles,Graduate Degree,Management,M,5,1,M,2,0,Pacific,2,70000,,,,,,,,,,,,,,,
61,1-2 Miles,Partial College,Skilled Manual,M,29,1,M,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
61,5-10 Miles,Partial College,Skilled Manual,F,27,1,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
61,5-10 Miles,Partial College,Skilled Manual,M,40,1,M,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
61,5-10 Miles,Partial College,Skilled Manual,M,23,1,M,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
40,5-10 Miles,High School,Skilled Manual,M,547,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
40,5-10 Miles,High School,Skilled Manual,F,634,1,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,M,315,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
41,1-2 Miles,Partial College,Skilled Manual,F,331,0,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
41,5-10 Miles,Partial College,Professional,F,543,1,M,2,0,North America,0,70000,,,,,,,,,,,,,,,
38,5-10 Miles,Partial College,Professional,M,632,1,S,2,0,North America,0,60000,,,,,,,,,,,,,,,
59,5-10 Miles,High School,Skilled Manual,F,40,1,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
59,1-2 Miles,High School,Skilled Manual,F,23,0,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
60,5-10 Miles,High School,Skilled Manual,M,39,1,M,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
60,5-10 Miles,High School,Skilled Manual,F,24,1,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
60,1-2 Miles,High School,Skilled Manual,F,17,0,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
59,5-10 Miles,High School,Skilled Manual,F,16,1,S,2,0,Pacific,2,70000,,,,,,,,,,,,,,,
59,5-10 Miles,High School,Skilled Manual,M,28,1,S,2,0,Pacific,2,70000,,,,,,,,,,,,,,,
57,5-10 Miles,High School,Professional,F,32,1,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
58,5-10 Miles,High School,Professional,M,19,1,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
57,1-2 Miles,High School,Professional,F,36,0,S,2,0,Pacific,2,80000,,,,,,,,,,,,,,,
41,1-2 Miles,High School,Professional,F,49,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
56,0-1 Miles,Graduate Degree,Management,M,34,1,S,2,0,Pacific,0,160000,,,,,,,,,,,,,,,
56,0-1 Miles,Graduate Degree,Management,M,30,1,M,2,0,Pacific,0,170000,,,,,,,,,,,,,,,
49,2-5 Miles,Bachelors,Management,F,311,1,M,3,2,North America,2,120000,,,,,,,,,,,,,,,
49,1-2 Miles,Graduate Degree,Management,F,322,0,S,3,1,North America,0,130000,,,,,,,,,,,,,,,
49,1-2 Miles,Graduate Degree,Management,F,336,1,M,3,1,North America,0,130000,,,,,,,,,,,,,,,
58,1-2 Miles,Partial High School,Skilled Manual,M,543,0,S,2,0,North America,2,80000,,,,,,,,,,,,,,,
58,5-10 Miles,High School,Professional,F,345,0,S,2,0,North America,2,60000,,,,,,,,,,,,,,,
57,0-1 Miles,Partial College,Professional,M,369,1,M,0,1,North America,2,70000,,,,,,,,,,,,,,,
57,0-1 Miles,Partial College,Professional,F,307,0,M,0,2,North America,3,70000,,,,,,,,,,,,,,,
57,2-5 Miles,Bachelors,Management,M,359,1,M,0,1,North America,2,80000,,,,,,,,,,,,,,,
58,2-5 Miles,Bachelors,Management,F,337,1,S,1,1,North America,2,80000,,,,,,,,,,,,,,,
57,2-5 Miles,Partial College,Professional,M,338,1,S,1,0,North America,2,90000,,,,,,,,,,,,,,,
58,5-10 Miles,Partial College,Professional,M,50,1,M,1,0,North America,2,90000,,,,,,,,,,,,,,,
48,1-2 Miles,Bachelors,Professional,F,22,1,M,0,2,Pacific,2,90000,,,,,,,,,,,,,,,
48,0-1 Miles,Graduate Degree,Management,F,19,1,M,0,0,Pacific,0,100000,,,,,,,,,,,,,,,
53,0-1 Miles,Partial College,Skilled Manual,M,33,0,S,1,0,Pacific,1,70000,,,,,,,,,,,,,,,
53,5-10 Miles,Partial College,Skilled Manual,M,13,1,S,1,0,Pacific,1,70000,,,,,,,,,,,,,,,
53,5-10 Miles,Bachelors,Professional,M,12,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
53,5-10 Miles,Partial College,Skilled Manual,M,40,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
54,0-1 Miles,Partial College,Skilled Manual,F,14,0,S,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
54,0-1 Miles,Bachelors,Professional,M,13,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
54,5-10 Miles,Partial College,Skilled Manual,F,28,1,S,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
50,0-1 Miles,Bachelors,Professional,F,33,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
50,1-2 Miles,Bachelors,Professional,F,18,1,S,4,5,Pacific,5,80000,,,,,,,,,,,,,,,
50,5-10 Miles,Bachelors,Professional,F,3,1,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,0-1 Miles,Bachelors,Professional,M,23,0,M,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
50,5-10 Miles,Bachelors,Professional,F,8,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,5-10 Miles,Bachelors,Professional,M,40,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
56,5-10 Miles,Bachelors,Professional,F,17,1,M,1,0,Pacific,1,90000,,,,,,,,,,,,,,,
52,0-1 Miles,Bachelors,Professional,F,13,0,S,2,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,0-1 Miles,Bachelors,Professional,M,38,0,S,2,0,Pacific,0,70000,,,,,,,,,,,,,,,
53,5-10 Miles,Partial College,Skilled Manual,M,3,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
53,0-1 Miles,Partial College,Skilled Manual,F,34,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
53,0-1 Miles,Partial College,Skilled Manual,F,25,1,M,1,0,Pacific,1,60000,,,,,,,,,,,,,,,
53,5-10 Miles,Bachelors,Professional,M,30,1,M,2,4,Pacific,5,70000,,,,,,,,,,,,,,,
53,5-10 Miles,Partial College,Skilled Manual,F,14,1,S,2,4,Pacific,5,70000,,,,,,,,,,,,,,,
53,0-1 Miles,Partial College,Skilled Manual,M,17,1,M,2,4,Pacific,5,70000,,,,,,,,,,,,,,,
52,5-10 Miles,Partial College,Skilled Manual,M,18,1,M,2,4,Pacific,5,70000,,,,,,,,,,,,,,,
54,10+ Miles,Partial College,Skilled Manual,F,8,1,M,3,4,Pacific,5,70000,,,,,,,,,,,,,,,
58,0-1 Miles,Partial College,Skilled Manual,M,6,0,S,1,0,Pacific,1,80000,,,,,,,,,,,,,,,
80,0-1 Miles,Partial College,Clerical,M,13,0,S,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
79,5-10 Miles,Bachelors,Management,F,18,1,S,1,0,Pacific,2,40000,,,,,,,,,,,,,,,
54,10+ Miles,Partial College,Skilled Manual,M,10,1,M,3,4,Pacific,5,70000,,,,,,,,,,,,,,,
55,5-10 Miles,Partial College,Skilled Manual,M,12,1,M,3,4,Pacific,5,70000,,,,,,,,,,,,,,,
55,10+ Miles,Partial College,Skilled Manual,M,39,1,M,3,4,Pacific,5,70000,,,,,,,,,,,,,,,
58,5-10 Miles,Partial College,Skilled Manual,M,40,1,S,1,0,Pacific,1,80000,,,,,,,,,,,,,,,
59,5-10 Miles,Partial College,Skilled Manual,F,37,1,S,1,0,Pacific,1,70000,,,,,,,,,,,,,,,
66,0-1 Miles,High School,Skilled Manual,M,11,0,M,2,1,Pacific,2,10000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,F,361,1,M,1,0,North America,0,40000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,F,635,1,M,1,0,North America,0,40000,,,,,,,,,,,,,,,
40,5-10 Miles,High School,Skilled Manual,F,638,1,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
35,5-10 Miles,High School,Skilled Manual,F,543,1,M,2,0,North America,0,30000,,,,,,,,,,,,,,,
35,0-1 Miles,High School,Skilled Manual,F,50,0,M,2,0,North America,0,30000,,,,,,,,,,,,,,,
34,5-10 Miles,High School,Skilled Manual,F,51,0,S,2,0,North America,0,30000,,,,,,,,,,,,,,,
35,0-1 Miles,Partial High School,Clerical,F,542,0,S,2,0,North America,0,30000,,,,,,,,,,,,,,,
69,5-10 Miles,High School,Skilled Manual,M,30,1,S,2,0,Pacific,5,10000,,,,,,,,,,,,,,,
35,5-10 Miles,Partial High School,Clerical,M,302,0,S,2,0,North America,0,30000,,,,,,,,,,,,,,,
36,0-1 Miles,High School,Skilled Manual,F,53,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
37,5-10 Miles,High School,Skilled Manual,F,641,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
36,0-1 Miles,High School,Skilled Manual,F,325,0,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
76,5-10 Miles,Partial College,Clerical,F,28,0,S,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
38,5-10 Miles,Partial High School,Clerical,M,301,0,S,2,0,North America,0,30000,,,,,,,,,,,,,,,
38,0-1 Miles,High School,Skilled Manual,F,314,0,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
38,0-1 Miles,High School,Skilled Manual,M,51,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
38,5-10 Miles,High School,Skilled Manual,M,334,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
36,0-1 Miles,High School,Skilled Manual,M,607,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
35,0-1 Miles,High School,Skilled Manual,F,536,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
76,5-10 Miles,Bachelors,Management,F,8,1,S,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
76,0-1 Miles,Graduate Degree,Management,M,40,1,M,1,0,Pacific,2,60000,,,,,,,,,,,,,,,
74,5-10 Miles,Bachelors,Management,M,22,1,M,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
74,0-1 Miles,Bachelors,Management,M,25,1,M,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
74,5-10 Miles,Bachelors,Management,M,39,1,S,2,0,Pacific,2,40000,,,,,,,,,,,,,,,
73,0-1 Miles,Graduate Degree,Management,F,18,0,S,1,0,Pacific,2,60000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,M,633,1,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,F,635,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
39,5-10 Miles,Partial College,Skilled Manual,F,553,1,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
39,1-2 Miles,Partial College,Skilled Manual,M,301,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
39,1-2 Miles,Partial College,Skilled Manual,F,334,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
40,5-10 Miles,High School,Skilled Manual,F,642,1,M,2,0,North America,0,40000,,,,,,,,,,,,,,,
39,5-10 Miles,High School,Skilled Manual,M,361,1,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
39,1-2 Miles,High School,Skilled Manual,F,385,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
41,5-10 Miles,Partial College,Skilled Manual,M,311,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
41,1-2 Miles,Partial College,Skilled Manual,F,311,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
41,5-10 Miles,Partial College,Skilled Manual,M,331,1,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
40,5-10 Miles,Partial College,Skilled Manual,M,372,1,M,1,0,North America,0,40000,,,,,,,,,,,,,,,
41,1-2 Miles,Partial College,Skilled Manual,M,374,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
42,1-2 Miles,Partial College,Skilled Manual,F,348,0,M,1,0,North America,0,60000,,,,,,,,,,,,,,,
43,0-1 Miles,Partial College,Skilled Manual,F,631,0,S,2,0,North America,0,70000,,,,,,,,,,,,,,,
43,0-1 Miles,Bachelors,Management,F,618,0,S,1,0,North America,0,80000,,,,,,,,,,,,,,,
47,0-1 Miles,Bachelors,Management,M,348,0,S,1,0,North America,0,80000,,,,,,,,,,,,,,,
47,0-1 Miles,Bachelors,Management,M,312,1,M,1,4,North America,4,90000,,,,,,,,,,,,,,,
47,0-1 Miles,Bachelors,Management,F,612,1,M,1,4,North America,4,90000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Management,M,385,1,S,2,0,North America,1,100000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Management,F,626,1,M,2,0,North America,1,100000,,,,,,,,,,,,,,,
48,0-1 Miles,Graduate Degree,Management,F,552,0,S,4,0,North America,0,110000,,,,,,,,,,,,,,,
48,2-5 Miles,Graduate Degree,Management,M,338,1,M,0,1,North America,0,110000,,,,,,,,,,,,,,,
52,5-10 Miles,Partial College,Skilled Manual,M,300,1,S,2,0,North America,0,70000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Management,M,50,1,M,1,4,North America,4,90000,,,,,,,,,,,,,,,
73,5-10 Miles,Graduate Degree,Management,M,359,1,M,2,4,North America,2,110000,,,,,,,,,,,,,,,
72,1-2 Miles,Graduate Degree,Management,M,334,1,M,3,3,North America,2,100000,,,,,,,,,,,,,,,
72,5-10 Miles,Graduate Degree,Management,F,300,1,M,3,4,North America,2,120000,,,,,,,,,,,,,,,
72,0-1 Miles,Bachelors,Management,F,307,1,M,4,3,North America,1,160000,,,,,,,,,,,,,,,
72,0-1 Miles,Graduate Degree,Management,M,338,1,M,2,3,North America,2,170000,,,,,,,,,,,,,,,
71,10+ Miles,Bachelors,Management,F,638,1,S,2,0,North America,4,70000,,,,,,,,,,,,,,,
71,10+ Miles,Bachelors,Management,F,368,1,S,2,0,North America,4,70000,,,,,,,,,,,,,,,
70,10+ Miles,Bachelors,Management,F,311,1,S,2,0,North America,4,70000,,,,,,,,,,,,,,,
70,10+ Miles,Bachelors,Management,F,53,1,S,2,0,North America,4,70000,,,,,,,,,,,,,,,
71,10+ Miles,Bachelors,Management,F,352,1,S,2,0,North America,4,70000,,,,,,,,,,,,,,,
71,10+ Miles,Graduate Degree,Management,F,612,1,M,2,0,North America,4,60000,,,,,,,,,,,,,,,
71,1-2 Miles,Graduate Degree,Management,F,361,0,M,2,0,North America,4,60000,,,,,,,,,,,,,,,
71,10+ Miles,Graduate Degree,Management,M,609,1,S,2,0,North America,4,60000,,,,,,,,,,,,,,,
71,10+ Miles,Bachelors,Management,M,300,1,M,2,0,North America,5,70000,,,,,,,,,,,,,,,
69,10+ Miles,Bachelors,Management,F,310,1,S,3,0,North America,5,70000,,,,,,,,,,,,,,,
69,2-5 Miles,Bachelors,Management,M,637,1,M,2,0,North America,4,60000,,,,,,,,,,,,,,,
70,2-5 Miles,Bachelors,Management,M,553,1,M,2,0,North America,4,60000,,,,,,,,,,,,,,,
70,2-5 Miles,Bachelors,Management,F,352,1,M,2,0,North America,4,60000,,,,,,,,,,,,,,,
69,10+ Miles,Bachelors,Management,F,635,1,M,3,0,North America,5,60000,,,,,,,,,,,,,,,
69,10+ Miles,Bachelors,Management,M,536,1,M,3,0,North America,5,60000,,,,,,,,,,,,,,,
69,1-2 Miles,Bachelors,Management,F,637,0,M,1,1,North America,3,70000,,,,,,,,,,,,,,,
68,10+ Miles,Bachelors,Management,F,368,1,S,1,1,North America,4,70000,,,,,,,,,,,,,,,
68,10+ Miles,Bachelors,Management,F,302,1,M,1,1,North America,4,70000,,,,,,,,,,,,,,,
67,1-2 Miles,Bachelors,Management,M,69,1,M,1,1,North America,4,70000,,,,,,,,,,,,,,,
68,10+ Miles,Bachelors,Management,F,369,1,M,1,1,North America,4,70000,,,,,,,,,,,,,,,
68,1-2 Miles,Bachelors,Management,F,334,0,M,2,0,North America,5,80000,,,,,,,,,,,,,,,
67,10+ Miles,High School,Professional,M,60,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
67,2-5 Miles,High School,Professional,F,536,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
67,10+ Miles,High School,Professional,F,612,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
66,10+ Miles,Partial College,Professional,M,626,1,M,1,1,North America,2,60000,,,,,,,,,,,,,,,
67,10+ Miles,Partial College,Professional,F,635,1,S,1,1,North America,2,60000,,,,,,,,,,,,,,,
67,10+ Miles,Bachelors,Management,F,325,1,M,0,1,North America,2,60000,,,,,,,,,,,,,,,
67,10+ Miles,Bachelors,Management,F,336,1,M,0,1,North America,2,60000,,,,,,,,,,,,,,,
67,10+ Miles,Partial College,Professional,M,383,1,M,2,1,North America,4,70000,,,,,,,,,,,,,,,
65,2-5 Miles,High School,Professional,F,50,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
65,2-5 Miles,High School,Professional,F,53,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
66,10+ Miles,Partial College,Professional,F,614,1,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
65,10+ Miles,Partial College,Professional,M,545,1,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
65,10+ Miles,Partial High School,Skilled Manual,F,62,1,M,2,1,North America,2,40000,,,,,,,,,,,,,,,
65,10+ Miles,Partial College,Professional,F,547,1,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
65,10+ Miles,Partial College,Professional,F,547,1,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
65,2-5 Miles,Partial College,Professional,F,642,0,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
64,10+ Miles,High School,Professional,M,553,1,M,2,1,North America,2,60000,,,,,,,,,,,,,,,
65,10+ Miles,Partial College,Professional,F,310,1,M,1,1,North America,2,60000,,,,,,,,,,,,,,,
65,1-2 Miles,Partial College,Professional,M,334,1,M,1,2,North America,4,70000,,,,,,,,,,,,,,,
65,1-2 Miles,Bachelors,Management,F,369,1,M,1,1,North America,3,80000,,,,,,,,,,,,,,,
63,2-5 Miles,High School,Professional,F,52,1,S,2,1,North America,2,70000,,,,,,,,,,,,,,,
64,10+ Miles,High School,Professional,F,612,1,S,2,1,North America,2,70000,,,,,,,,,,,,,,,
64,10+ Miles,Partial College,Professional,F,635,1,M,1,1,North America,2,60000,,,,,,,,,,,,,,,
63,2-5 Miles,Partial College,Professional,F,552,1,M,1,1,North America,2,60000,,,,,,,,,,,,,,,
64,10+ Miles,Partial College,Professional,M,310,1,S,2,1,North America,2,60000,,,,,,,,,,,,,,,
64,10+ Miles,Partial College,Professional,F,316,1,M,2,1,North America,2,60000,,,,,,,,,,,,,,,
63,10+ Miles,Partial College,Professional,M,355,1,S,1,2,North America,4,70000,,,,,,,,,,,,,,,
64,2-5 Miles,Partial College,Professional,F,369,0,M,2,2,North America,4,70000,,,,,,,,,,,,,,,
62,10+ Miles,High School,Professional,M,611,1,M,2,1,North America,2,60000,,,,,,,,,,,,,,,
62,2-5 Miles,High School,Professional,F,616,0,M,2,1,North America,3,60000,,,,,,,,,,,,,,,
63,10+ Miles,Partial College,Professional,M,299,1,M,2,2,North America,4,70000,,,,,,,,,,,,,,,
62,10+ Miles,Partial College,Professional,F,337,1,S,2,2,North America,4,70000,,,,,,,,,,,,,,,
63,10+ Miles,Partial College,Professional,M,607,1,M,2,2,North America,4,70000,,,,,,,,,,,,,,,
63,10+ Miles,Partial College,Professional,M,609,1,S,2,2,North America,5,70000,,,,,,,,,,,,,,,
56,0-1 Miles,Bachelors,Management,M,161,0,S,4,3,Europe,2,130000,,,,,,,,,,,,,,,
57,0-1 Miles,Bachelors,Management,F,232,0,S,4,3,Europe,2,130000,,,,,,,,,,,,,,,
56,5-10 Miles,Partial College,Professional,F,249,0,M,2,4,Europe,2,130000,,,,,,,,,,,,,,,
56,5-10 Miles,Partial College,Professional,F,273,1,M,4,3,Europe,2,160000,,,,,,,,,,,,,,,
57,5-10 Miles,Partial College,Professional,F,211,1,S,4,3,Europe,2,100000,,,,,,,,,,,,,,,
57,5-10 Miles,Partial College,Professional,M,209,1,M,3,4,Europe,2,110000,,,,,,,,,,,,,,,
57,0-1 Miles,Partial College,Professional,F,237,1,M,3,3,Europe,2,150000,,,,,,,,,,,,,,,
57,0-1 Miles,Bachelors,Management,F,267,0,S,3,3,Europe,2,170000,,,,,,,,,,,,,,,
